管轄市町村名,避難先名称,避難種別,指定区分,指定場所,災害区分,土砂災害・浸水・津波浸水予測地域,風水害,津波,耐震性,備蓄の有無,備蓄品目,標高（m）,経度：東経(世界測地系10進法),緯度：北緯(世界測地系10進法),発電機の有無,発動発電機（可搬型）,自家発電機,施設面積〈屋内〉（㎡）,施設面積〈屋外〉（㎡）,収容人数(避難所),収容人数(避難場所）,所在地,備考1
有田市,県立箕島高等学校【指定】,避難所を兼ねる避難場所,指定避難場所兼指定避難所,救援物資集積場所,洪水　崖崩れ・土石流及び地滑り　地震　,浸水予測地域　津波浸水予測地域,☆,,耐震　,,,2.3,135.129264,34.083576,,,,7604,,2487,466,有田市箕島55,
有田市,県立箕島高等学校宮原校舎,避難所,,,洪水　,,,,,,,,135.177689,34.075085,,,,,,,,有田市宮原町新町416番地,
有田市,県立箕島高等学校宮原校舎【指定】,避難所を兼ねる避難場所,指定避難場所兼指定避難所,救援物資集積場所,地震　,浸水予測地域　,,,耐震　,,,10,135.177689,34.075085,,,,1001,,812,1443,有田市宮原町新町416,
有田市,古江見保育所,避難所,指定避難所,,,浸水予測地域　津波浸水予測地域,,,耐震　,,,1.8,135.124215,34.080512,,,,491,,160,,有田市古江見152,
有田市,古江見老人憩いの家,避難所,指定避難所,,洪水　,土砂災害予測地域　浸水予測地域　津波浸水予測地域,,,非耐震,,,1.8,135.124564,34.079226,,,,334.4,,100,,有田市古江見187,
有田市,里中央コミュニティセンター,避難所,指定避難所,,,浸水予測地域　,,,耐震　,,,2.6,135.120389,34.098441,,,,233.8,,100,,有田市初島町　里1796-2,
有田市,下中島ちびっ子広場,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,20,135.159176,34.087848,,,,,,,,有田市下中島487,
有田市,下中島西回り農道付近,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,25,135.156927,34.085921,,,,,,,,有田市下中島776,
有田市,下中島配水池付近,避難場所,指定避難場所,,洪水　津波　,土砂災害予測地域　,,☆☆☆,,,,52,135.161682,34.084774,,,,,,,,有田市宮原町滝211-2,
有田市,新堂配水池跡付近,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,20,135.129387,34.087648,,,,,,,,有田市新堂1151,
有田市,JR第１箕島トンネル付近,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,15,135.1159,34.088438,,,,,,,,有田市箕島779-1,
有田市,地蔵寺,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,24,135.146826,34.071792,,,,,,,,有田市千田2201,
有田市,地蔵堂,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,13,135.143091,34.086264,,,,,,,,有田市山田原191-1,
有田市,浄妙寺付近高台,避難場所,指定避難場所,,洪水　津波　,土砂災害予測地域　,,☆☆☆,,,,17,135.114509,34.076244,,,,,,,,有田市宮崎町1000,
有田市,神光池,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,24,135.140711,34.064253,,,,,,,,有田市千田1283,
有田市,須谷会館,避難所,指定避難所,,,浸水予測地域　,,,耐震　,,,11.1,135.186054,34.073999,,,,482,,100,,有田市宮原町須谷296-1,
有田市,砂浜会館,避難所,指定避難所,,,土砂災害予測地域　,,,耐震　,,,6.8,135.112396,34.09763,,,,530,,50,,有田市初島町　浜1792,
有田市,そとはま保育所,避難所,指定避難所,,,津波浸水予測地域,,,耐震　,,,,135.106748,34.09147,,,,,,340,,有田市港町280-32,
有田市,大師堂,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,23,135.139966,34.067532,,,,,,,,有田市千田1574,
有田市,高田公園,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,19,135.135628,34.06618,,,,,,,,有田市千田1361-1,
有田市,高田原,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,20,135.137583,34.065261,,,,,,,,有田市千田1422,
有田市,多喜寺,避難場所,指定避難場所,,洪水　津波　,土砂災害予測地域　,,☆☆☆,,,,13,135.1656,34.084745,,,,,,,,有田市宮原町滝151,
有田市,竹田グラウンド,避難場所,指定避難場所,,地震　,浸水予測地域　,,,,,,6,135.122272,34.098943,,,,,9800,,,有田市初島町　里1266-1,
有田市,田鶴小学校,避難所,,,,,,,,,,,135.097277,34.077187,,,,,,,,有田市宮崎町2131番地,
